cnpj_consorcio,status_revisao_documental,areas_validadas_documental,perfil_validado_documental,classe_validada_documental,confianca_documental,decisao_documental,justificativa_documental,fontes_documentais
20321585000159,ajustado,agricultura; desenvolvimento_regional,multiarea_documentada,multiarea,media,ajustar,classificacao anterior conflita com a denominacao juridica de desenvolvimento rural sustentavel; manter como classificacao documental provisoria,https://www.econodata.com.br/consulta-empresa/20321585000159-consorcio-intermunicipal-de-desenvolvimento-rural-sustentavel-cidrus
18303697000135,ajustado,desenvolvimento_regional,setorial,desenvolvimento_regional,media,ajustar,a denominacao juridica e a evidencia cadastral caracterizam atuacao de desenvolvimento regional; os setores anteriores conflitantes nao foram confirmados documentalmente,https://casadosdados.com.br/solucao/cnpj/consorcio-intermunicipal-norte-mineiro-de-desenvolvimento-regional-dos-vales-do-carinhanha-cocha-peruacu-japore-e-sao-francisco-cimvales-18303697000135
10331797000163,confirmado,saneamento_basico,setorial,saneamento_basico,alta,confirmar,contrato publicado no Diario Oficial da Uniao identifica o CISAB em instrumento da FUNASA na area de saneamento,https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?captchafield=firstAccess&data=22%2F12%2F2021&jornal=530&pagina=210
21213865000106,ajustado,meio_ambiente; residuos_solidos,multiarea_documentada,multiarea,media,ajustar,setores diretos do cadastro IPEA e da MUNIC apontam meio ambiente e manejo de residuos; desenvolvimento sustentavel no nome nao substitui essa evidencia,https://cidassp.mg.gov.br/wp-content/uploads/2025/02/anexo_65019.pdf
01999898000205,evidencia_insuficiente,,,multifinalitario,baixa,manter_pendente,e filial de consorcio multissetorial; nao atribuir area setorial antes da decisao sobre consolidacao matriz filial,https://empresas.serasaexperian.com.br/consulta-gratis/CONSORCIO-INTERMUNICIPAL-MULTISSETORIAL-DO-ENTORNO-DO-CAPARAO-CIS-CAPARAO-01999898000205
21512443000131,ajustado,infraestrutura; licitacao_compras_compartilhadas,multifinalitario_explicito,multifinalitario,media,ajustar,atos oficiais mostram o CIMASP como orgao gerenciador de compras compartilhadas e de obras de engenharia para municipios consorciados; perfil multifinalitario preservado,https://dosp.com.br/exibe_do.php?i=ODMxNDgw; https://www.licitabase.com/procurement/21512443000131-1-000015%2F2026
46125774000140,ajustado,infraestrutura; iluminacao_publica; licitacao_compras_compartilhadas,multifinalitario_explicito,multifinalitario,media,ajustar,portal institucional registra compras compartilhadas e objetos de infraestrutura e iluminacao publica,https://cimbasp.mg.gov.br/licitacoes/
36027665000136,evidencia_insuficiente,,,multifinalitario,baixa,manter_pendente,portal institucional confirma o consorcio multifinalitario mas o processo localizado nao permite identificar area finalistica,https://www.cimerp.mg.gov.br/licitacao/view/27/aviso-de-dispensa-eletronica-n-0012025
43863467000178,ajustado,saude; desenvolvimento_regional; infraestrutura,multifinalitario_explicito,multifinalitario,media,ajustar,paginas institucionais registram objetivo atual de saude e missao de desenvolvimento regional com obras e qualificacao de servicos; perfil multifinalitario preservado,https://cimesmi.mg.gov.br/; https://cimesmi.mg.gov.br/institucional/quem-somos; https://www.paraisopolis.mg.gov.br/2021/05/paraisopolis-cambui-consolacao-e-corrego-do-bom-jesus-assinam-protocolo-de-intencoes-para-a-criacao-do-cimesmi/
53255914000160,confirmado,saude,multifinalitario_explicito,multifinalitario,alta,confirmar,registro oficial no CNES e processo de mamografia comprovam atuacao em saude; perfil multifinalitario e preservado,https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3100209415491
45847892000107,confirmado,,multifinalitario_explicito,multifinalitario,media,confirmar,razao social e cadastro confirmam perfil multifinalitario sem area setorial comprovada,https://www.dunsguide.com/company/f0f219cec70250d89fc07709fb32cc30/consorcio-intermunicipal-multifinalitario-grandes-sertoes
50387580000190,ajustado,licitacao_compras_compartilhadas,multifinalitario_explicito,multifinalitario,media,ajustar,processos publicados confirmam funcao operacional de compras compartilhadas mas nao uma politica setorial unica,https://www.licinexus.com.br/licitacoes/processo/50387580000190-1-000005-2026/
02034350000285,confirmado,saude,setorial,saude,alta,confirmar,registro oficial no CNES confirma unidade vinculada a saude; a consolidacao com matriz e decisao separada,https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3139408203830
