cnpj_raiz_8,entidade,anos_mides_sem_fixa_dezembro,evidencia_documental,fonte_principal,fonte_complementar,classificacao_final,decisao_modelo_principal,uso_sensibilidade,limite
00784548,CONSONORTE,2014-2018,"Nao foi localizado prestador ou polo anual identificavel; a literatura institucional apenas confirma a existencia do consorcio de saude no periodo",https://repositorio.fjp.mg.gov.br/items/c5bf1126-785a-4bd8-a68c-95c5f00c3125,,evidencia_insuficiente,excluir_destino_fixo,"preservar pagamentos e testar regra cadastral",Ausencia de evidencia nao prova ausencia de oferta
00794962,CISVAS,2014,"A historia institucional confirma contratacao de especialistas desde a criacao; o CNES fixo atual foi cadastrado apenas em 2015 e nao identifica os prestadores de 2014",https://cisvas.com.br/site/quem-somos/XyHrFE9hJ98-3/atr.aspx,https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3158207691807,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,"rede indireta sem polo unico",Nao retroagir o CNES de 2015
01058207,CIS_GRAO_MOGOL,2014-2017,"Relato oficial de 2018 documenta consultas e exames e transporte diario para Montes Claros e Francisco Sa nos quatro meses anteriores",https://cisgraomogol.mg.gov.br/2018/01/25/consorcio-de-saude-atende-1-108-pacientes-em-apenas-quatro-meses-de-gestao/,https://cisgraomogol.mg.gov.br/,rede_multidestino_documentada_no_fim_da_janela,excluir_destino_fixo,"rede indireta em 2017 se forem recuperados prestadores",A fonte nao identifica CNES nem permite retroagir a 2014-2016
01172959,CISNORTE_ALTO_RIO_PARDO,2014-2015,"A unidade atual em Taiobeiras tem cadastro CNES a partir de 2016; nao foi localizada unidade anterior para 2014-2015",https://cnes2.datasus.gov.br/Mod_Ambulatorial.asp?VCo_Unidade=3168007918747,,registro_fixo_posterior,excluir_destino_fixo,"cadastro atual apenas como contraste",Nao retroagir estrutura aberta depois do pagamento observado
01256507,CISLAP,2014-2016,"Fonte oficial municipal documenta servicos especializados contratados e suspensao por falta de pagamento em 2018; nao identifica prestadores e enderecos de 2014-2016",https://www.cassia.cam.mg.gov.br/camara-demonstra-grande-preocupacao-com-situacao-do-consorcio-de-saude/,,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,"rede indireta sem polo unico",Evidencia posterior confirma mecanismo mas nao reconstrui os anos
01260691,CISPARA,2017,"CNES 6311709 aparece em outros meses de 2017 e falta somente em dezembro; a historia oficial confirma oferta de media complexidade",https://www.cispara.mg.gov.br/consorcio/apresentacao,https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3147106311709,fixa_intrano_ausente_em_dezembro,excluir_na_fotografia_de_dezembro,"incluir CNES 6311709 na robustez mensal de 2017",A regra anual principal usa dezembro para todas as entidades
01289973,CISAMSF,2014-2016,"O sitio atual confirma servicos de saude e sede em Januaria; nao foi localizado prestador anual ou unidade assistencial identificavel para 2014-2016",https://cisamsf.com.br/,,evidencia_insuficiente,excluir_destino_fixo,"preservar pagamentos e testar regra cadastral",A estrutura atual nao pode ser retroagida
01994407,CISPORTAL,2014-2017,"O sitio oficial atual confirma atendimento por credenciamento; nao foi localizada lista historica de prestadores com vigencia e endereco",https://cisportal.mg.gov.br/atendimento/,,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,"rede indireta sem polo unico",Prestadores atuais nao comprovam os destinos de 2014-2017
01999898,CIS_CAPARAO,2014-2017,"O sitio oficial descreve profissionais credenciados e remocao por UTI movel; documento municipal de 2014 registra subvenção ao Hospital Cesar Leite sem provar que o consorcio o mantinha",https://www.ciscaparao.mg.gov.br/Index.aspx,https://www.reduto.mg.gov.br/legislacao-categorias/leis-ordinarias/leis-ordinarias-2013/862-lei-ordinaria-n-362-2013/file,rede_indireta_e_movel_sem_vinculo_de_capacidade,excluir_destino_fixo,"rede indireta; hospital somente se houver contrato de prestacao",Pagamento associado ao hospital nao equivale a propriedade ou capacidade do consorcio
02401218,CISAP_VP,2014-2016,"Requerimento municipal de 2015 solicita esclarecimentos sobre empenho de transporte de pacientes a Conselheiro Lafaiete e Belo Horizonte; nao identifica prestador clinico",https://desterrodeentrerios.cam.mg.gov.br/Salvar_arquivo_Leis.php?INT_ARQ=62222,https://www.congonhas.mg.gov.br/index.php/prefeitura-de-congonhas-participa-da-eleicao-do-presidente-do-cisap-e-fortalece-compromisso-com-a-saude-regional/,transporte_documentado_sem_destino_clinico,excluir_destino_fixo,"preservar pagamentos e testar rede de transporte",Requerimento e referencia ao empenho nao comprovam unidade clinica ou capacidade
