cnpj_raiz_8,cod_ibge_6_override,fonte_titulo,fonte_url,ano_evidencia,resultado_revisao,cobertura_temporal,grau_evidencia,nota
00784548,,Plano regional SES-MG,"https://www.saude.mg.gov.br/wp-content/uploads/2023/08/11-ASIS-PRI-9e3.pdf",2023,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"A fonte oficial posterior lista os municipios da amostra no CONSONORTE; nao prova isoladamente a composicao em 2019."
00794962,,Municipios consorciados CISVAS,"https://www.cisvas.com.br/municipios-consorciados/jose-raydan",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Pagina oficial atual identifica Jose Raydan como consorciado."
00905312,,Documento de municipios consorciados CISNORTE,"https://transparencia.pmclarodospocoes.contassconsultoria.com.br/adesaoderegistros/download-anexo/40",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Documento publico posterior inclui Patis e Brasilia de Minas entre os municipios do CISNORTE."
01014332,,Resolucao SES-MG 8368,"https://www.saude.mg.gov.br/wp-content/uploads/2025/01/RESOLUCAO-SES-8368.pdf",2022,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Documento oficial posterior associa Monte Formoso ao CIS-EVMJ."
01275576,,Historico institucional CIMMESF,"https://cimmesf.mg.gov.br/institucional/quem-somos",2018,historicamente_compativel,compativel_com_2019,moderado,"O consorcio informa constituicao publica em 2018 e lista Jequitai atualmente; a permanencia exata em 2019 exige documento anual."
02401218,,Legislacao municipal de Rio Espera,"https://www.rioespera.mg.leg.br/processo-legislativo-1/projetos-de-leis/leis-aprovadas-em-2017",2017,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Lei municipal de 2017 ratifica alteracao do protocolo do CISAP-VP."
03735788,,Cadastro COSECS do CISLAV,"https://cosecsmg.org.br/consorcios/cislav-38",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Cadastro institucional atual corrobora Itumirim; nao fixa composicao em 2019."
09310999,,Leis ordinarias de Itapagipe,"https://pmitapagipe.horusdm.com.br/pagina/leisOrdinarias",2013,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Lei municipal de 2013 autoriza a participacao de Itapagipe no CISVALEGRAN."
11592737,,Parceria municipal com CISMIV,"https://saomigueldoanta.mg.gov.br/prefeitura-de-sao-miguel-disponibiliza-casa-de-apoio-em-belo-horizonte/",2022,nao_corroborado_com_indicio_alternativo,posterior_a_2019,fraco,"Nao foi localizada prova de Sao Miguel do Anta no SIMSAUDE; fonte municipal posterior registra parceria com outro consorcio."
11636961,,Lei municipal com protocolo CISRUN,"https://serranopolisdeminas.mg.leg.br/transparencia/legislacao/1058-lei-ordinaria-n-302-2009/file",2009,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Protocolo legal lista Espinosa Juramento e Pirapora no CISRUN."
