cnpj_raiz_8,ano,entidade,origem_universo,pares_pagantes,valor_mides,classificacao_anterior_painel,grupo_conciliacao,classificacao_conciliada,tratamento_dados,n_unidades_moveis_dezembro,n_estruturas_nao_clinicas_dezembro,cnes_dezembro,tipos_cnes_dezembro,municipios_cadastro_dezembro,cnes_com_tipo_clinico_em_algum_mes,inicio_servico_documentado,fundamento,fonte_decisao,fonte_documental_aplicada,referencias_contextuais_nao_automaticamente_anuais,alcance_contexto_original,fonte_cnes_url,fonte_cnes_sha256,competencia_cnes,polo_clinico_anual_recuperado,limite,data_conciliacao
71203715,2014,CIS CIRCUITO DAS AGUAS,original_84,20,13284521.07,programas_fixos_documentados_sem_cnes_e_endereco,redes_indiretas_ou_programas,programas_fixos_documentados_sem_cnes_e_endereco,excluir_destino_fixo,0,0,,,,,,"Documento da Fhemig registra gestao de servicos regionais de atencao secundaria entre janeiro de 2014 e dezembro de 2016, incluindo Centro Viva Vida, saude mental, CEO e farmacia",outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://www.fhemig.mg.gov.br/files/3070/ConsorcioEntidades-Filantropicas---CSSFe/33901/Ata-de-Julgamento---CSSFE--Edital-06/2024.pdf?preview=1,https://www.ciscircuitodasaguas.org.br/ | https://www.fhemig.mg.gov.br/files/3070/ConsorcioEntidades-Filantropicas---CSSFe/33901/Ata-de-Julgamento---CSSFE--Edital-06/2024.pdf?preview=1,2014-2015,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
17813026,2014,CISDESTE,original_84,91,4305966.62,sem_classificacao_anual_no_painel,movel_regulacao_ou_transporte,oferta_movel_cadastrada,especificacao_movel; nao_usar_central_como_clinica,40,2,7467184 | 7476809 | 7478267 | 7539932 | 7539940 | 7539967 | 7539975 | 7539983 | 7539991 | 7540000 | 7540019 | 7540035 | 7541090 | 7541104 | 7541120 | 7545509 | 7545517 | 7548044 | 7548052 | 7548109 | 7548125 | 7548133 | 7554184 | 7570678 | 7572085 | 7572336 | 7572379 | 7572387 | 7572417 | 7572425 | 7575289 | 7575319 | 7588348 | 7588356 | 7588364 | 7588372 | 7588399 | 7588402 | 7588410 | 7588429 | 7588437 | 7594488,42 | 76,310150 | 310280 | 310460 | 310690 | 310750 | 311330 | 311530 | 312400 | 312420 | 312595 | 312738 | 313670 | 313800 | 313840 | 313860 | 314080 | 314220 | 314390 | 314820 | 315580 | 315590 | 316070 | 316290 | 316570 | 316990 | 317200,,,Ha unidades moveis diretamente vinculadas na competencia de dezembro.,CNES_ST_dezembro,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
03735788,2014,CISLAV,original_84,10,3435458.1,evidencia_insuficiente,demais_sem_destino_clinico_suficientemente_documentado,evidencia_insuficiente,excluir_destino_fixo,0,0,,,,,,Documentacao legislativa confirma a finalidade de apoiar programas de saude; nao identifica unidade ou prestador de 2014-2016,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://sapl.lavras.mg.leg.br/media/sapl/public/materialegislativa/2024/6/1._ple_021_2024_projeto.pdf,https://cosecsmg.org.br/consorcios/cislav-38 | https://sapl.lavras.mg.leg.br/media/sapl/public/materialegislativa/2024/6/1._ple_021_2024_projeto.pdf,2014-2016,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
02401218,2014,CISAP- VP,original_84,15,2890209.53,transporte_documentado_sem_destino_clinico,movel_regulacao_ou_transporte,transporte_documentado_sem_destino_clinico,excluir_destino_fixo,0,0,,,,,,Requerimento municipal de 2015 solicita esclarecimentos sobre empenho de transporte de pacientes a Conselheiro Lafaiete e Belo Horizonte; nao identifica prestador clinico,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://desterrodeentrerios.cam.mg.gov.br/Salvar_arquivo_Leis.php?INT_ARQ=62222,https://desterrodeentrerios.cam.mg.gov.br/Salvar_arquivo_Leis.php?INT_ARQ=62222 | https://www.congonhas.mg.gov.br/index.php/prefeitura-de-congonhas-participa-da-eleicao-do-presidente-do-cisap-e-fortalece-compromisso-com-a-saude-regional/,2014-2016,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
00794962,2014,CISVAS,original_84,10,2855622.92,rede_indireta_sem_destinos_anuais,redes_indiretas_ou_programas,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,0,0,,,,,,A historia institucional confirma contratacao de especialistas desde a criacao; o CNES fixo atual foi cadastrado apenas em 2015 e nao identifica os prestadores de 2014,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://cisvas.com.br/site/quem-somos/XyHrFE9hJ98-3/atr.aspx,https://cisvas.com.br/site/quem-somos/XyHrFE9hJ98-3/atr.aspx | https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3158207691807,2014,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01999898,2014,CIS CAPARAO,original_84,13,2553723.68,rede_indireta_e_movel_sem_vinculo_de_capacidade,redes_indiretas_ou_programas,rede_indireta_e_movel_sem_vinculo_de_capacidade,excluir_destino_fixo,0,0,,,,,,O sitio oficial descreve profissionais credenciados e remocao por UTI movel; documento municipal de 2014 registra subvenC'C#o ao Hospital Cesar Leite sem provar que o consorcio o mantinha,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://www.ciscaparao.mg.gov.br/Index.aspx,https://www.ciscaparao.mg.gov.br/Index.aspx | https://www.reduto.mg.gov.br/legislacao-categorias/leis-ordinarias/leis-ordinarias-2013/862-lei-ordinaria-n-362-2013/file,2014-2017,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
11636961,2014,CISRUN,original_84,70,2306004.7,sem_classificacao_anual_no_painel,movel_regulacao_ou_transporte,oferta_movel_cadastrada,especificacao_movel; nao_usar_central_como_clinica,37,1,5500303 | 6972632 | 7137133 | 7137141 | 7137168 | 7137176 | 7137184 | 7137192 | 7137206 | 7137214 | 7137222 | 7137230 | 7137249 | 7137257 | 7137265 | 7137273 | 7137281 | 7137303 | 7137311 | 7137346 | 7137354 | 7137362 | 7137370 | 7137389 | 7137397 | 7137400 | 7137419 | 7137427 | 7137435 | 7137443 | 7137451 | 7137486 | 7137494 | 7137508 | 7137516 | 7137524 | 7137532 | 7137540,42 | 76,314330,,,Ha unidades moveis diretamente vinculadas na competencia de dezembro.,CNES_ST_dezembro,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
00622039,2014,CISCAXAMBU,candidata_externa_13,8,2263913.59,sem_classificacao_anual_no_painel,demais_sem_destino_clinico_suficientemente_documentado,sem_vinculo_direto_identificado,localizar_prestador_e_vigencia; manter_sem_tempo_clinico,0,0,,,,,,Sem clinica diretamente vinculada recuperada para dezembro; consultar fonte contextual sem retroacao.,CNES_historico_e_contexto_documental,,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1712.dbc,2017-2021,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01172959,2014,CISNORTE ALTO RIO PARDO,original_84,15,2227064.4,registro_fixo_posterior,cadastro_intrano_ou_posterior,registro_fixo_posterior,excluir_destino_fixo,0,0,,,,,,A unidade atual em Taiobeiras tem cadastro CNES a partir de 2016; nao foi localizada unidade anterior para 2014-2015,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://cnes2.datasus.gov.br/Mod_Ambulatorial.asp?VCo_Unidade=3168007918747,https://cnes2.datasus.gov.br/Mod_Ambulatorial.asp?VCo_Unidade=3168007918747,2014-2015,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
11938399,2014,CISRU-CENTRO SUL,original_84,49,2135909.57,sem_classificacao_anual_no_painel,movel_regulacao_ou_transporte,oferta_movel_cadastrada,especificacao_movel; nao_usar_central_como_clinica,23,1,7003102 | 7042353 | 7042361 | 7042388 | 7042396 | 7042477 | 7042485 | 7042493 | 7042507 | 7042515 | 7042523 | 7042531 | 7048718 | 7048726 | 7048742 | 7048750 | 7048769 | 7048777 | 7048785 | 7048793 | 7048815 | 7048882 | 7048904 | 7048912,42 | 76,310210 | 310560 | 310590 | 311320 | 311800 | 311830 | 312390 | 312940 | 313740 | 313910 | 314450 | 314590 | 315080 | 315420 | 315520 | 316250 | 316500 | 316880,,,Ha unidades moveis diretamente vinculadas na competencia de dezembro.,CNES_ST_dezembro,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
