empenho,data_empenho,cnpj,nome_credor,valor_empenhado,valor_liquidado,valor_pago,objeto_consultado,descricao_transcrita,url_detalhe
671,2019-02-08,00639952000150,MINISTERIO DA FAZENDA,2030.80,2030.80,2030.80,TRUE,"DESPESA QUE SE EMPENHA,PELA MULTA SOBRE A ENTREGA DO DCTF-DECLARAÇĂO DE DEBITOS E CREDITOS TRIBUTARIOS FEDERAIS DESTE MUNICIPIO,REF.AOS MESES 03,04,09 E 10/2013.",https://ilai.memory.com.br/#/public/execucaodespesa/detalhesempenho?empenho=12019671
1103,2019-03-12,00639952000150,MINISTERIO DA FAZENDA,1025.20,1025.20,1025.20,FALSE,,
2124,2019-05-14,00639952000150,MINISTERIO DA FAZENDA,515.10,515.10,515.10,FALSE,,
2189,2019-05-22,00639952000150,MINISTERIO DA FAZENDA,25.00,25.00,25.00,FALSE,,
2190,2019-05-21,00639952000150,MINISTERIO DA FAZENDA,15.12,15.12,15.12,FALSE,,
2191,2019-05-21,00639952000150,MINISTERIO DA FAZENDA,3.02,3.02,3.02,FALSE,,
2192,2019-05-21,00639952000150,MINISTERIO DA FAZENDA,0.68,0.68,0.68,FALSE,,
4763,2019-09-24,00639952000150,MINISTERIO DA FAZENDA,10.00,10.00,10.00,FALSE,,
5443,2019-11-08,00639952000150,MINISTERIO DA FAZENDA,29.24,29.24,29.24,FALSE,,
5444,2019-11-08,00639952000150,MINISTERIO DA FAZENDA,5.78,5.78,5.78,FALSE,,
5445,2019-11-08,00639952000150,MINISTERIO DA FAZENDA,0.43,0.43,0.43,FALSE,,
6337,2019-11-28,00639952000150,MINISTERIO DA FAZENDA,6805.63,6805.63,6805.63,TRUE,"DESPESA QUE SE EMPENHA,PELA TAXA DE RETRANSMISSĂO DE RADIODIFUSĂO DE SONS E IMAGENS DO MUNICIPIO DE CONS.PENA-MG.REF.AOS EXERCICIO DE 2018 E 2019.",https://ilai.memory.com.br/#/public/execucaodespesa/detalhesempenho?empenho=120196337
6338,2019-11-28,00639952000150,MINISTERIO DA FAZENDA,712.50,712.50,712.50,FALSE,,
6339,2019-11-28,00639952000150,MINISTERIO DA FAZENDA,290.16,290.16,290.16,FALSE,,
