id,caso,ano,url,origem_descoberta
T2360793,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360793,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360794,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360794,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360795,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360795,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360796,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360796,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360797,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360797,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360798,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360798,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360799,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360799,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360800,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360800,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360801,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360801,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360802,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360802,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360803,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360803,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360804,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360804,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360805,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360805,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360807,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360807,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360808,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360808,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360809,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360809,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360810,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360810,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360811,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360811,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360812,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360812,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360813,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360813,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360814,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360814,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360815,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360815,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360816,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360816,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360817,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360817,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360818,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360818,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360819,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360819,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360820,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360820,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
T2360821,Ipatinga,2019,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2360821,https://www.tce.mg.gov.br/pesquisa_processo.asp?cod_processo=1091865
PPL006,Piedade de Caratinga,2019,https://www.cmpiedadedecaratinga.mg.gov.br/a-camara/materias-legislativas/679-projeto-de-lei-n-006-2019/file,https://www.cmpiedadedecaratinga.mg.gov.br/a-camara/materias-legislativas?category=161
