"id_fonte","titulo","data_documento","consulta","url","arquivo_local","sha256","paginas_ou_secao","acesso","limite"
"S01","CONSAÚDE: contrato CEGED 005/2019","2019-06-12","2026-09-25","https://www.consaudevaledoaco.com.br/wp-content/uploads/site/CONTRATOS%20-%20ADITIVOS%20-%20ATAS/CONTRATOS%202019/CONTRATO%20005%202019%20INEX%20CREDEN%2001%202019%20CEGED.pdf","outputs/auditoria_alternativas/fontes/documental_2026_09_25/consaude_contrato_005_2019.pdf","3f6ee197124eba43ef958521f7af4773751686a645082506e5678e8cb6377fbe","1;4-5","copia_local","Rol de municípios em rodapé; não é contrato Ipatinga–CONSAÚDE nem recibo."
"S02","CISVER: edital 001/2018, seleção janeiro/2019","2018","2026-09-25","https://arquivos.qconcursos.com/regulamento/arquivo/18469/cisver_mg_2018-edital.pdf","outputs/auditoria_alternativas/fontes/documental_2026_09_25/cisver_edital2018_2019.pdf","802392cf7e8c22691ea7a87b4f5be2b883fa0fa722211ffd0d9cc79813a30643","1","copia_local","Documento do consórcio em espelho Qconcursos; lista sem São João não prova zero financeiro."
"S03","UFSJ: dissertação Juliana, entrevista CISVER","2023-04-04","2026-09-25","https://ufsj.edu.br/portal2-repositorio/File/pipaus/Dissertacoes%202023/Dissertacao%20Juliana.pdf","outputs/auditoria_alternativas/fontes/documental_2026_09_25/ufsj_dissertacao_2023.pdf","dd31bf31c84dba072e6e6d3dc32b92c5836c2da397fb6df374af079d6f4681f7","150;152 (impressas 149;151)","copia_local","Entrevista primária relatada em dissertação; tema resíduos, data 2023. Download após falha de certificado com verificação TLS desativada, registrado; sem atribuir estado de 2019."
"S04","Coronel Xavier Chaves: rateio CISVER 2019","2019","2026-09-25","https://coronelxavierchaves.mg.gov.br/prefeitura/wp-content/uploads/2019/03/Contrato-Rateio-Cisver-2019-Cisver.pdf","outputs/auditoria_alternativas/fontes/documental_2026_09_25/cisver_rateio_2019.pdf","4ee018edffc57568ae0e2d4868c93234c2fe039e796511de78d47d662b585701","1","copia_local","Confirma sede em São João; contratante municipal é Coronel Xavier Chaves."
"S05","SES/MG: ASIS PRI Macro Leste","2023 (publicação; dados anteriores)","2026-09-25","https://www.saude.mg.gov.br/wp-content/uploads/2023/08/11-ASIS-PRI-9e3.pdf","outputs/auditoria_alternativas/fontes/documental_2026_09_25/ses_leste_2023.pdf","00ae80c88213d677eac4a376b8b99be42b6baee69175dd910ea72a4975955d5c","712 (interna 23)","copia_local","Situação institucional posterior; não comprova ausência de participação ou pagamento em 2019."
"S06","Governador Valadares: projeto 262/2025, processo 883/2025","2025-08-01","2026-09-25","https://drive.google.com/file/d/1HZXDecD5F1GQ9pT3ZjUlGzc1Ci8T3YVx/view","outputs/auditoria_alternativas/fontes/documental_2026_09_25/gv_projeto262_2025.pdf","172bd82a69d227a76b464687c0842f5a1d2253bf1153213d53c22024c962f04b","1;3-4","copia_local","Cópia do Executivo disponibilizada pelo vereador; projeto não é lei sancionada. Justificativa menciona participação anterior e manutenção; não datar primeira adesão em 2025."
"S07","Ubaporanga: lei 476/2011 e protocolo CISMIRECAR","2011","2026-09-25","https://cmubaporanga.mg.gov.br/legislacao/no-476-2011/?pdf=9583","outputs/auditoria_alternativas/fontes/documental_2026_09_25/ubaporanga_protocolo_2011.pdf","8897b14f498f5e1df6b1facb846eef515b322adcd28e8d47b04d292348241078","1-3","copia_local","Inclui Piedade e Santa Rita no protocolo; não comprova permanência nem rateio/pagamento em 2019."
"S08","São Francisco de Paula: ementa lei 979/2017","2017-12-11","2026-09-25","https://www.legislador.com.br/LegisladorWEB.ASP?ID=362&WCI=LeiConsulta&dtFinal=31%2F12%2F2017&dtInicial=01%2F01%2F2017&inEspecieLei=1","outputs/auditoria_alternativas/fontes/documental_2026_09_25/sfp_lei979_2017.html","c696c8853e244dd840664531bb4cc8540dbd6e91af351896749e67baf249090e","ementa 979/2017","copia_local","Ementa pública da Câmara autoriza rateio; não valida beneficiário de transações com nome SOMETAL."
"S09","CISTM: controle interno dezembro/2019","2020-01-10 (competência 2019-12)","2026-09-25","https://www.amvapsaude.com.br/wp-content/uploads/2023/07/Relatorio-Mensal-de-controle-Interno-Dezembro-2019.pdf","outputs/auditoria_alternativas/fontes/documental_2026_09_25/amvap_controle_dez2019.pdf","ce8aa9be2a501d3db722cc7a011a7d41b8ea835474ef6acb04ea0901f70f6dc9","1-6;25","copia_local","CNPJ 18.151.467/0001-06 conferido; um mês não encerra receita anual por município. OCR auxiliar."
"S10","CISTM: protocolo de intenções","2013-03-22","2026-09-25","","C:\IPEA\dados servidor IPEA\IPEA arquivos servidor para análise\Jadson\Jadson - CNPJs\21 - 18151467000106 - AMVAP\PROTOCOLO-DE-INTENÇÕES-CISTM.pdf","e8b2bc2031e39c812129c4ca89f202be55efa6edcae2664c7fa60c92315bf0c1","art.1 XXII; art.5; assinaturas","acervo_local","Possíveis subscritores incluem Uberlândia; minuta com campos de assinatura não comprova ratificação ou permanência."
"S11","Uberlândia–CISTRI: rateio 25/2015","2015","2026-09-25","","C:\IPEA\dados servidor IPEA\IPEA arquivos servidor para análise\Jadson\Jadson - CNPJs\21 - 18151467000106 - AMVAP\Contratos 2015\UBERLANDIA.pdf","f4cbb03557819b987d39057fda6f9a18a9a25abbf5eebbf03b4fefa96948596b","1","acervo_local","Guardado na pasta AMVAP mas pertence ao CISTRI 19.455.924/0001-00; não usar como vínculo com raiz 18151467."
"S12","COSECS: captura CISMIRECAR","2024-02-06","2026-09-25","https://www.cosecsmg.org.br/consorcio/cis-mirecar/66","C:\IPEA\dados servidor IPEA\IPEA arquivos servidor para análise\Ives\Ives - CNPJs\90 - 00980259000146\CIS MIRECAR - Cosecs.pdf","4db35449f471f66f0f7a7b886fc3ba32b44bb414efdda28b2c481f7dfe27581e","1-2","acervo_local","Lista cinco municípios, sem Piedade/Santa Rita; captura posterior não informa mudança nem prova exclusão formal."
"S13","Prefeitura de Araguari: assembleia CISTM","2019-10-11","2026-09-25","https://araguari.mg.gov.br/noticias/prefeito-de-araguari-participa-da-assembleia-geral-do-cistm","","","lista de 20 municípios","indice_web_sem_copia_original","Texto localizado no índice web. Acesso direto redirecionou a 404/listagem. Ausência de Uberlândia no rol é indício institucional, não prova de zero anual."
"S14","Ribeirão das Neves: portal oficial de transparência","consulta atual","2026-09-25","https://ribeiraodasneves.mg.gov.br/src/pages/transparencia.html","outputs/auditoria_alternativas/fontes/documental_2026_09_25/neves_transparencia.html","f093b908f4499e84e82aac739c0257ee2654595cb3a09329c905da8488a55b37","Acessar Portal Betha","copia_local","Portal atual localizado; não obtido documento conciliador das duas transações de 2014."
"S15","Conselheiro Pena: portal institucional","consulta atual","2026-09-25","https://www.conselheiropena.mg.gov.br/","outputs/auditoria_alternativas/fontes/documental_2026_09_25/conselheiro_portal.html","23e3d8ee56439b9d2067c31beb041cad4b68ca55a849c3778d4d41b8ee471874","Portal da Transparência / Memory","copia_local","Link público https://ilai.memory.com.br/#/entidades/login/99CJHD/1/ localizado; não obtido comprovante conciliador. Não foi demonstrada exigência de login."
"S16","MIDES: transações CISVI/Conselheiro Pena em 2019","2019","2026-09-25","","outputs\auditoria_alternativas\cisvi_conselheiro_pena_2019_transacoes.csv","94d4d12fd38f9a2e065ab80eb6b6152aada75ebcc6c500164c02443d5360b54d","14 registros","extracao_local_preexistente","Dado a conciliar, não evidência independente do beneficiário."
