id,titulo,autoria,ano,url,trecho_consultado,contribuicao_para_o_projeto,limite_da_comparacao
ieps_2022,A Regionalização da Saúde no Brasil,Rocha Rache e Nunes,2022,https://ieps.org.br/wp-content/uploads/2022/06/IEPS_Estudo_Institucional_07.pdf,pp.16-20 e 25-28; PDF local outputs/literatura/ieps2022.pdf,Combina CNES SIH IBGE e regionalizacao; compara fluxos dentro e fora de regioes,Desfecho e fluxo hospitalar ou proporcao regional; nosso desfecho e pagamento binario por par
jia_2019,Differential effects of distance decay on hospital inpatient visits among subpopulations,Jia Wang e Xierali,2019,https://doi.org/10.1007/s10661-019-7468-2,pp.1-5; PDF local outputs/literatura/florida2019.pdf,Populacao capacidade e viagem rodoviaria em pares origem-hospital; compara funcoes de decaimento,Internacoes observadas e modelos de volumes positivos; nao autoriza apagar nossos zeros nem importar seu melhor decaimento
gaynor_2016,Free to Choose? Reform Choice and Consideration Sets in the English National Health Service,Gaynor Propper e Seiler,2016,https://www.aeaweb.org/articles?id=10.1257/aer.20121532,Resumo editorial e pagina do autor; texto integral nao acessivel nesta consulta,Restricoes de escolha fazem parte do modelo; proximidade nao define sozinha alternativas,Escolha individual hospitalar e reforma identificada; nao equivale a vinculos municipais multiplos ou a evidencia causal em MG
mcgrail_2012,Spatial accessibility of primary health care utilising the two step floating catchment area method,McGrail,2012,https://link.springer.com/article/10.1186/1476-072X-11-50,Metodos e discussao sobre catchments e decaimento,Testar sensibilidade ao alcance territorial em vez de assumir um limite universal,Acessibilidade potencial de atencao primaria na Australia; limites em minutos nao sao normas para consorcios de MG
baier_2004,Economic determinants of free trade agreements,Baier e Bergstrand,2004,https://sites.nd.edu/jeffrey-bergstrand/files/2020/04/Economic-Determinants-of-Free-Trade-Agreements.pdf,pp.39-43 e 49-51; secoes 4-6,Exemplo de vinculo binario por par com distancia e massas; discute acuracia inflada por zeros e dependencia entre pares,Probit entre paises e acordos comerciais; analogia de estrutura de dados nao teoria de consorcios de saude
ipea_2000,Regionalização da assistência à saúde no Brasil os consórcios municipais no SUS,Ribeiro e Costa,2000,https://www.ipea.gov.br/ppp/index.php/PPP/article/download/84/166,Resumo e secoes iniciais sobre organizacao financiamento e acesso,Consorcios organizam servicos e pactuacao entre governos; capacidade cadastrada nao resume cooperacao,Retrato historico anterior a Lei 11107; nao usar como lista de membros em 2019
teixeira_2003,Consórcios intermunicipais de saúde uma análise à luz da teoria dos jogos,Teixeira Mac Dowell e Bugarin,2003,https://www.scielo.br/j/rbe/a/vyLbqkkf89KqJwbsBxLdRhR/abstract/?lang=pt,Resumo e identificacao dos autores,Adesao permanencia financiamento e acesso podem responder a incentivos diferentes,Modelo teorico de dois municipios; nao identifica causas de um erro individual nosso
lei_11107,Lei 11107 de 6 de abril de 2005,Brasil,2005,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11107.htm,Arts.3-8,Contrato de consorcio e rateio distinguem vinculo institucional e entrega de recursos,Leitura para interpretar dados; nao substitui documentos locais de cada ano
decreto_6017,Decreto 6017 de 17 de janeiro de 2007,Brasil,2007,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6017.htm,Arts.13 18 23-25,Diferentes instrumentos de financiamento e participacao; sede fisica nao prova pagamento,Regras gerais nao comprovam o instrumento usado em um par especifico
uberaba_2019,Relatório Prestação de Contas Anual ao TCEMG Exercício 2019,Controladoria Geral de Uberaba,2019,https://www.uberaba.mg.gov.br/portal/acervo/portal_transparencia/arquivos/2019/prestacao%20contas/Relatorio%20do%20Controle%20Interno.pdf,p.80 conferida em texto e imagem; SHA256 c02d890cd1cb11539a9e59b45fb18fac048f905e21078b45c44ef4dc65415655,Confirma ausencia de pagamentos ao CISVALEGRAN em 2019 e notificacao sobre contrato de rateio desde 2018,Nao concluir impossibilidade juridica de qualquer contratacao nem converter a informacao posterior em preditor de treino
cnes_cisvi,Ficha CNES 7284233,DATASUS,2026,https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3122307284233,Identificacao empresarial e CNPJ 00639952000150,Confirma que o documento e do CISVI; ST1912 local sustenta o vinculo historico,Consulta atual nao resolve por que MIDES registra Ministerio da Fazenda no campo de nome
