cnpj_raiz_8,sigla,decisao,periodo_evidencia,evidencia,fonte,limite
07356999,CIESP,candidato_saude_historica,2014-2021,"CNES direto nos oito dezembros; relato CONASEMS de gestao CAPS desde 2013 e transferencia do CAPS de Sao Joao Nepomuceno em janeiro de 2019. Falso negativo tematico da v0.5.",https://conasems-ava-prod.s3.sa-east-1.amazonaws.com/institucional/wpcontent/2020/11/Catalogo_2019_Arteweb_fev2022.pdf,"CNES ST comprova vinculo cadastral por competencia; predominancia financeira nao foi quantificada. Requer integrar capacidade antes de estimar."
12963113,CIDES-LESTE,saude_historica_escopo_a_segregar,2014-2021,"CNES 6790151 vinculado nos oito dezembros; portal registra gestao da UPA Caratinga desde 2018 e projeto Familia Acolhedora em 2021.",https://www.cidesleste.com.br/?i=not,"Ha saude efetiva e outra politica. Nao atribuir todo pagamento a saude nem toda capacidade UPA por simples noticia."
12333051,UNIAO DA SERRA GERAL,saude_historica_escopo_a_segregar,2020-2021,"Habilitada no edital SES 02/2020; prefeitura de Janauba documenta acordo assistencial em setembro de 2021 envolvendo cirurgias e consultas.",https://www.saude.mg.gov.br/wp-content/uploads/2020/04/Resultado_Edital_Habilitacao_CIS_No_02_-_30_03_2020-429.pdf | https://janauba.mg.gov.br/noticias/noticia/prefeituras-e-ministerio-publico-assinam-tac-visando-qualificar-o-atendimento-na-saude-da-serra-geral-de-minas,"Nenhum vinculo direto recuperado nos oito ST de dezembro. CNES 7010605 atual e noticia nao autorizam imputar capacidade historica."
21505692,CIMAMS,saude_historica_escopo_a_segregar,2019-2021,"Portal de 26/02/2019 documenta credenciamento de Pro-Vida; Hospital Dilson Godinho; Hospital das Clinicas Mario Ribeiro. CNES 9954988 e central de gestao nos tres dezembros.",https://www.cimams.mg.gov.br/noticias/cimams/mais-de-100-procedimentos-na-area-de-saude-a-disposicao-dos-municipios-do-cimams/ | https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3143309954988,"Rede indireta identificada nominalmente; vigencia contratual e CNES de prestadores precisam de ligacao especifica. Central nao e destino clinico."
00622039,CISCAXAMBU,candidato_saude_historica,2017-2021,"Identidade CNM de saude fora do cadastro IPEA; CNPJ proprio/mantenedor recupera CNES 9374965 nos dezembros de 2017-2021.",ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1712.dbc,"Antes de 2017 nao foi identificada unidade direta em dezembro; isso nao prova inatividade. MIDES foi consultado complementarmente por raiz."
00639952,CISVI,candidato_saude_historica,2014-2021,"CNES 7284233 nos oito dezembros. Edital 004/2017 identifica CNPJ e contratacao de dermatologia; ortopedia e otorrinolaringologia.",https://www.cisvi.com.br/abrir_arquivo.aspx/PAL_004_2017__Contratacao_de_consultas_medicas_de_dermatologia_ortopedia_e_otorrino?arquivo=%7B7536A45C-D64B-CED2-6DC7-CAA4BEDA44ED%7D.pdf&cdLocal=2,"Edital nao comprova volume realizado. Ausencia no cadastro IPEA nao era ausencia no MIDES."
00931990,CISCOM,candidato_saude_historica,2017-2021,"Plano Municipal de Abaete relata mamografo cedido ao CISCOM desde novembro de 2017. CNES 9415491 aparece em dezembro de 2018-2021.",https://abaete.mg.gov.br/wp-content/uploads/2025/06/PMS-Abaete-2022-2025.pdf,"Documento posterior descreve evento de 2017; preservada diferenca para primeira presenca CNES de dezembro."
01080759,CISAMESP,candidato_saude_historica,2014-2021,"CNES 5338409 nos oito dezembros. Processo de Conceicao dos Ouros em 15/01/2020 contrata exames e pequenas cirurgias com CNPJ 01080759000194.",https://arquivos.conceicaodosouros.mg.gov.br/wp-content/uploads/2022/05/007_2020_Cisamesp___Exames_Extras.pdf,"CISAMESP e raiz diferente da AMESP 20362307 e do CIMMES 21564247; nao consolidar por semelhanca de sigla."
01124788,CONSARDOCE,candidato_saude_historica,2017,"Prestacao de contas no TCE documenta repasse em 2017 de R$588098.59; distingue contribuicoes de exames e medicos. SES reconhece o consorcio de saude da regiao de Resplendor.",https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/1751650 | https://portal-antigo.saude.mg.gov.br/resolucoes/story/20387-consorcios-intermunicipais-de-saude-da-macro-leste-participam-de-encontro-promovido-pela-regional-de-valadares,"Sem unidade direta nos oito dezembros; nao incluir destino ficticio. Valor documental e evidencia de caso e nao total MIDES."
01208564,CISMIP,candidato_saude_historica,2018-2021,"CNES 9639691 nos dezembros de 2018-2021. Projeto municipal de Guape de fevereiro de 2021 identifica CNPJ e servicos medicos.",https://www.camaraguape.mg.gov.br/abrir_arquivo.aspx?arquivo=%7BBBA1ED7E-EBAD-666B-AD76-0C1BCDA3BCAB%7D.pdf&cdLocal=7 | https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3147909639691,"Projeto de lei nao foi promovido a prova de filiacao consumada; identidade e oferta cadastral corroboradas independentemente."
