cnpj_raiz_8,ano,decisao_revisada,servico_documentado,cnes_associado,base_associacao,periodo_documentado,fontes_ids,polo_anual_integral_recuperado,pendencia
97550393,2016,movel_contratado_sem_hospital_receptor,SAMU municipal Ouro Preto,,contrato_municipal,fevereiro-dezembro/2016,CIAS_SAMU;CIAS_TRANSPORTE,FALSE,Identificar destino dos pacientes e objeto dos outros repasses; nao atribuir todo valor MIDES ao SAMU
97550393,2017,movel_contratado_sem_hospital_receptor,SAMU municipal Ouro Preto,,contrato_e_aditivos,janeiro-dezembro/2017,CIAS_SAMU,FALSE,Identificar destino dos pacientes e objeto dos outros repasses; contrato nao prova execucao continua
97550393,2018,movel_contratado_sem_hospital_receptor,SAMU municipal Ouro Preto,,contrato_e_aditivos,janeiro-dezembro/2018,CIAS_SAMU,FALSE,Identificar destino dos pacientes e objeto dos outros repasses; ha ajuste de dia entre aditivos de agosto
97550393,2019,movel_e_regulacao_contratados_sem_hospital_receptor,SAMU Ouro Preto e regulacao de sete municipios,,contrato_e_aditivos,SAMU no ano; regulacao 12 meses salvo Ouro Preto e Mariana tres meses,CIAS_SAMU;CIAS_REG,FALSE,Regulacao nao e destino clinico; verificar renovacoes especificas e objeto dos outros repasses
97550393,2020,movel_contratado_rede_clinica_nao_comprovada,SAMU municipal Ouro Preto,,contrato_e_aditivos,janeiro-dezembro/2020; 7o aditivo ate 03/02/2021,CIAS_SAMU;CIAS_2020,FALSE,Credenciamento clinico planejado em dezembro nao comprova rede anual; identificar destino dos pacientes
71203715,2017,unidade_municipal_identificada_acesso_parcial,CEAE Centro Viva Vida,6019463,nome_localidade_CNES_e_noticia_municipal,Instrumento 01/2017-12/2019; janeiro-abril/2017 relatados; restricao anunciada 03/05/2017,CIR_FHEMIG;CIR_NOTICIA;CIR_CNES,FALSE,Confirmar retomada e municipios atendidos por mes; CNES da unidade nao consta no contrato; capacidade municipal nao e cota do CIS
01124788,2014,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; ficha atual nao retroagida
01124788,2015,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; ficha atual nao retroagida
01124788,2016,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; ficha atual nao retroagida
01124788,2017,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; evidencias financeiras anteriores nao identificam prestador
01124788,2018,chamamento_localizado_sem_prestador_confirmado,credenciamento de clinica especializada,,,recebimento de documentos desde 13/08/2018,CONS_EDITAL;CONS_CNES,FALSE,Resultado do credenciamento 001/2018 e contratos; endereco de entrega documental nao e destino assistencial comprovado
01124788,2019,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; ficha atual nao retroagida
01124788,2020,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; ficha atual nao retroagida
01124788,2021,prestadores_historicos_nao_identificados,,,,nenhuma vigencia de prestador confirmada,CONS_CNES,FALSE,Contratos e lista de clinicas com CNES e vigencia; ficha atual nao retroagida
